Section,Field,Type,Description,Required,Validation / Notes,Options / Reference
"Contact & Billing","Primary Contact Phone","Phone","Best phone number","Yes","Auto-format; accept digits/spaces/punctuation",""
"Contact & Billing","Company / Organization","Text","Company or host organization","No","",""
"Contact & Billing","Role / Title","Text","Role of primary contact","No","",""
"Contact & Billing","Decision Maker Name","Text","Ultimate decision maker if different","No","",""
"Contact & Billing","Decision Maker Email","Email","Email for decision maker","No","Must be valid email format",""
"Contact & Billing","Billing Entity Name","Text","Entity to appear on invoices","No","",""
"Contact & Billing","Billing Address","Long text","Mailing address for invoices","No","",""
"Contact & Billing","Corporate / Fiscal Sponsor","Text","Fiscal sponsor or parent organization","No","",""
"Priorities & Requirements","Top Priority #1","Dropdown","Most important requirement","Yes","","Menu Quality; Presentation; Budget; Timeline; Dietary Needs; Experience; Other"
"Priorities & Requirements","Top Priority #2","Dropdown","Second most important requirement","Yes","Should differ from Priority #1","Menu Quality; Presentation; Budget; Timeline; Dietary Needs; Experience; Other"
"Priorities & Requirements","Dietary Restrictions","Long text","List of dietary restrictions","Yes","",""
"Priorities & Requirements","Allergies","Long text","Known severe allergies","No","",""
"Priorities & Requirements","Allergy Coordinator","Text","Contact responsible for allergy communications","No","",""
"Priorities & Requirements","Special Requests","Long text","Other non-negotiables or notes","No","",""
"Internal Risk Assessment","Payment Risk Rating","Dropdown","Internal rating of payment risk (1 low - 3 high)","Staff Only","Must be 1, 2, or 3","1 - Low; 2 - Moderate; 3 - High"
"Internal Risk Assessment","Venue Complexity","Long text","Notes on access, layout, restrictions","Staff Only","",""
"Internal Risk Assessment","Risk Flags","Long text","Concerns or mitigation items","Staff Only","",""
"Marketing Attribution","Referral Source","Dropdown","How the client heard about us","Yes","","Website; Social Media; Referral; Returning Client; Event Planner; Venue Partner; Advertisement; Other"
"Marketing Attribution","Marketing Channel","Dropdown","Specific channel for attribution","No","","Instagram; Facebook; LinkedIn; Google Search; Email Campaign; Trade Show; Word of Mouth; Other"
"Marketing Attribution","Campaign / Offer","Text","Campaign code or promotion tied to lead","No","",""
"Marketing Attribution","Notes","Long text","Additional attribution notes","No","",""
"Internal Use","Assigned To","Dropdown","Team member responsible for follow-up","Staff Only","","Sales Coordinator; Senior Planner; Catering Manager; TBD"
"Internal Use","Lead Status","Dropdown","Pipeline status post-review","Staff Only","","New; Discovery Scheduled; Proposal Sent; Negotiation; Contract Sent; Closed Won; Closed Lost"
"Internal Use","Qualification Score","Number","Score from Qualification Checklist","Staff Only","0-100 numeric",""
"Compliance","Privacy Consent","Checkbox","Client consent to store/process data","Yes","Must be TRUE to submit",""
